Category,City,Country,Customer.ID,Customer.Name,Discount,Market,è®°å½•æ•°,Order.Date,Order.ID,Order.Priority,Product.ID,Product.Name,Profit,Quantity,Region,Row.ID,Sales,Segment,Ship.Date,Ship.Mode,Shipping.Cost,State,Sub.Category,Year,Market2,weeknum
Office Supplies,Los Angeles,United States,LS-172304,Lycoris Saunders,0,US,1,01-07-11,CA-2011-130813,High,OFF-PA-10002005,Xerox 225,9.3312,3,West,36624,19,Consumer,01-09-11,Second Class,4.37,California,Paper,2011,North America,2
Office Supplies,Los Angeles,United States,MV-174854,Mark Van Huff,0,US,1,01-21-11,CA-2011-148614,Medium,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,West,37033,19,Consumer,01-26-11,Standard Class,0.94,California,Paper,2011,North America,4
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0,US,1,08-05-11,CA-2011-118962,Medium,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6â€ x 11â€",9.8418,3,West,31468,21,Consumer,08-09-11,Standard Class,1.81,California,Paper,2011,North America,32
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,0,US,1,08-05-11,CA-2011-118962,Medium,OFF-PA-10001144,Xerox 1913,53.2608,2,West,31469,111,Consumer,08-09-11,Standard Class,4.59,California,Paper,2011,North America,32
Office Supplies,Los Angeles,United States,AP-109154,Arthur Prichep,0,US,1,09-29-11,CA-2011-146969,High,OFF-PA-10002105,Xerox 223,3.1104,1,West,32440,6,Consumer,10-03-11,Standard Class,1.32,California,Paper,2011,North America,40
Office Supplies,Los Angeles,United States,JF-154904,Jeremy Farry,0,US,1,10-19-11,CA-2011-117317,Critical,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,6.5856,3,West,32890,13,Consumer,10-19-11,Same Day,2.39,California,Paper,2011,North America,43
Office Supplies,Los Angeles,United States,WB-218504,William Brown,0,US,1,11-04-11,CA-2011-125829,Medium,OFF-PA-10000223,Xerox 2000,9.3312,3,West,35608,19,Consumer,11-11-11,Standard Class,1.15,California,Paper,2011,North America,45
Office Supplies,Los Angeles,United States,JA-159704,Joseph Airdo,0,US,1,11-12-11,CA-2011-151295,High,OFF-PA-10001947,Xerox 1974,5.8604,2,West,33709,12,Consumer,11-16-11,Standard Class,0.92,California,Paper,2011,North America,46
Office Supplies,Los Angeles,United States,SP-209204,Susan Pistek,0,US,1,11-22-11,CA-2011-135090,High,OFF-PA-10002245,Xerox 1895,24.219,9,West,35267,54,Consumer,11-26-11,Standard Class,6.98,California,Paper,2011,North America,48
Office Supplies,Los Angeles,United States,RL-196154,Rob Lucas,0,US,1,12-05-11,CA-2011-133830,Medium,OFF-PA-10001363,Xerox 1933,23.0864,4,West,38866,49,Consumer,12-10-11,Standard Class,1.99,California,Paper,2011,North America,50
Office Supplies,Los Angeles,United States,KD-163454,Katherine Ducich,0,US,1,12-13-11,CA-2011-113579,High,OFF-PA-10001457,White GlueTop Scratch Pads,41.5104,6,West,33788,90,Consumer,12-15-11,Second Class,8.53,California,Paper,2011,North America,51
Office Supplies,Los Angeles,United States,JM-161954,Justin MacKendrick,0,US,1,02-15-12,CA-2012-116092,Medium,OFF-PA-10004285,Xerox 1959,6.4128,2,West,33544,13,Consumer,02-18-12,Second Class,1,California,Paper,2012,North America,7
Office Supplies,Los Angeles,United States,JM-161954,Justin MacKendrick,0,US,1,02-15-12,CA-2012-116092,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,33548,19,Consumer,02-18-12,Second Class,0.06,California,Paper,2012,North America,7
Office Supplies,Los Angeles,United States,RD-195854,Rob Dowd,0,US,1,02-16-12,CA-2012-121776,High,OFF-PA-10001970,Xerox 1881,17.3148,3,West,39431,37,Consumer,02-21-12,Standard Class,4.04,California,Paper,2012,North America,7
Office Supplies,Los Angeles,United States,AB-101654,Alan Barnes,0,US,1,03-28-12,CA-2012-131534,Medium,OFF-PA-10000743,Xerox 1977,16.032,5,West,31990,33,Consumer,04-02-12,Standard Class,2.25,California,Paper,2012,North America,13
Office Supplies,Los Angeles,United States,AR-105404,Andy Reiter,0,US,1,04-11-12,US-2012-136987,Medium,OFF-PA-10003127,Staples,24.2696,2,West,38758,53,Consumer,04-14-12,Second Class,1.59,California,Paper,2012,North America,15
Office Supplies,Los Angeles,United States,LH-171554,Logan Haushalter,0,US,1,06-19-12,CA-2012-121965,Medium,OFF-PA-10004355,Xerox 231,3.1104,1,West,35746,6,Consumer,06-23-12,Standard Class,0.52,California,Paper,2012,North America,25
Office Supplies,Los Angeles,United States,AR-105104,Andrew Roberts,0,US,1,08-31-12,CA-2012-112319,High,OFF-PA-10003441,Xerox 226,27.9936,9,West,32057,58,Consumer,09-05-12,Standard Class,7.98,California,Paper,2012,North America,35
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0,US,1,11-22-12,CA-2012-137708,High,OFF-PA-10000176,Xerox 1887,18.2112,2,West,36102,38,Consumer,11-25-12,Second Class,3.9,California,Paper,2012,North America,47
